file,rows,missing_cols,high_missing,reasons
EAI.parquet,1,,,low_rows(1)
EASY.parquet,3,,,low_rows(3)
EBI.parquet,151,,,low_rows(151)
ECCU.parquet,197,,,low_rows(197)
ECG.parquet,234,,,low_rows(234)
EDGE.parquet,177,,,low_rows(177)
EDHL.parquet,117,,,low_rows(117)
EFFE.parquet,192,,,low_rows(192)
EFFI.parquet,199,,,low_rows(199)
EFTY.parquet,40,,,low_rows(40)
EGG.parquet,75,,,low_rows(75)
EGGQ.parquet,191,,,low_rows(191)
EGGS.parquet,192,,,low_rows(192)
EGGY.parquet,192,,,low_rows(192)
EGHA.parquet,68,,,low_rows(68)
EGHAR.parquet,1,,,low_rows(1)
EGHAU.parquet,102,,,low_rows(102)
EGLE.parquet,118,,,low_rows(118)
EHLD.parquet,146,,,low_rows(146)
EIIA.parquet,246,,,low_rows(246)
ELFY.parquet,122,,,low_rows(122)
ELIL.parquet,132,,,low_rows(132)
ELIS.parquet,133,,,low_rows(133)
ELM.parquet,162,,,low_rows(162)
ELOG.parquet,26,,,low_rows(26)
ELON.parquet,161,,,low_rows(161)
ELVR.parquet,24,,,low_rows(24)
EMES.parquet,98,,,low_rows(98)
EMISU.parquet,7,,,low_rows(7)
EMOP.parquet,75,,,low_rows(75)
EMP.parquet,1,,,low_rows(1)
EMPB.parquet,202,,,low_rows(202)
EMPG.parquet,66,,,low_rows(66)
ENGS.parquet,129,,,low_rows(129)
ENPX.parquet,14,,,low_rows(14)
EPEM.parquet,84,,,low_rows(84)
EPIN.parquet,84,,,low_rows(84)
EPMB.parquet,107,,,low_rows(107)
EPMV.parquet,107,,,low_rows(107)
EPSB.parquet,107,,,low_rows(107)
EPSM.parquet,133,,,low_rows(133)
EPSV.parquet,107,,,low_rows(107)
EPWK.parquet,166,,,low_rows(166)
ESHAR.parquet,1,,,low_rows(1)
ESK.parquet,7,,,low_rows(7)
ESLG.parquet,4,,,low_rows(4)
ESLV.parquet,4,,,low_rows(4)
ESN.parquet,239,,,low_rows(239)
ESSC.parquet,4,,,low_rows(4)
ESUM.parquet,198,,,low_rows(198)
ETCO.parquet,22,,,low_rows(22)
ETHI.parquet,12,,,low_rows(12)
ETHM.parquet,205,,,low_rows(205)
ETHMU.parquet,215,,,low_rows(215)
ETOR.parquet,100,,,low_rows(100)
ETQ.parquet,236,,,low_rows(236)
ETRL.parquet,23,,,low_rows(23)
ETS.parquet,31,,,low_rows(31)
ETU.parquet,236,,,low_rows(236)
EUAD.parquet,238,,,low_rows(238)
EURKR.parquet,1,,,low_rows(1)
EVAC.parquet,30,,,low_rows(30)
EVMO.parquet,44,,,low_rows(44)
EVYM.parquet,152,,,low_rows(152)
EXOZ.parquet,222,,,low_rows(222)
EXUS.parquet,75,,,low_rows(75)
EZPZ.parquet,155,,,low_rows(155)
FACT.parquet,196,,,low_rows(196)
FACTU.parquet,213,,,low_rows(213)
FAI.parquet,216,,,low_rows(216)
FARX.parquet,196,,,low_rows(196)
FATN.parquet,124,,,low_rows(124)
FB.parquet,70,,,low_rows(70)
FBDC.parquet,68,,,low_rows(68)
FBGL.parquet,166,,,low_rows(166)
FBLA.parquet,237,,,low_rows(237)
FCBD.parquet,196,,,low_rows(196)
FCHL.parquet,22,,,low_rows(22)
FEAC.parquet,216,,,low_rows(216)
FEAT.parquet,199,,,low_rows(199)
FEBM.parquet,155,,,low_rows(155)
FEBU.parquet,169,,,low_rows(169)
FEGE.parquet,196,,,low_rows(196)
FEMR.parquet,216,,,low_rows(216)
FEOE.parquet,196,,,low_rows(196)
FERA.parquet,116,,,low_rows(116)
FERAR.parquet,1,,,low_rows(1)
FERAU.parquet,151,,,low_rows(151)
FFDI.parquet,216,,,low_rows(216)
FFEM.parquet,216,,,low_rows(216)
FFGX.parquet,216,,,low_rows(216)
FFOX.parquet,81,,,low_rows(81)
FFUT.parquet,84,,,low_rows(84)
FGL.parquet,237,,,low_rows(237)
FGMC.parquet,163,,,low_rows(163)
FGMCR.parquet,1,,,low_rows(1)
FGMCU.parquet,171,,,low_rows(171)
FGSI.parquet,70,,,low_rows(70)
FGSM.parquet,196,,,low_rows(196)
FGSN.parquet,178,,,low_rows(178)
FHDG.parquet,219,,,low_rows(219)
FIG.parquet,46,,,low_rows(46)
FIGR.parquet,17,,,low_rows(17)
FIGX.parquet,34,,,low_rows(34)
FIGXU.parquet,70,,,low_rows(70)
FINT.parquet,196,,,low_rows(196)
FIRI.parquet,218,,,low_rows(218)
FIRS.parquet,218,,,low_rows(218)
FIVY.parquet,199,,,low_rows(199)
FIXP.parquet,176,,,low_rows(176)
FIXT.parquet,77,,,low_rows(77)
FLAG.parquet,118,,,low_rows(118)
FLCC.parquet,198,,,low_rows(198)
FLCE.parquet,196,,,low_rows(196)
FLOC.parquet,180,,,low_rows(180)
FLXN.parquet,63,,,low_rows(63)
FLY.parquet,41,,,low_rows(41)
FMCE.parquet,220,,,low_rows(220)
FMFC.parquet,71,,,low_rows(71)
FMKT.parquet,81,,,low_rows(81)
FMTM.parquet,137,,,low_rows(137)
FMUB.parquet,125,,,low_rows(125)
FMUN.parquet,124,,,low_rows(124)
FNGU.parquet,157,,,low_rows(157)
FOFO.parquet,16,,,low_rows(16)
FOPC.parquet,196,,,low_rows(196)
FOWF.parquet,198,,,low_rows(198)
FOXY.parquet,167,,,low_rows(167)
FPAS.parquet,230,,,low_rows(230)
FRDD.parquet,52,,,low_rows(52)
